"","File","Date","GPP.mean","GPP.sd","GPP.median","ER.mean","ER.sd","ER.median","NEP.mean","NEP.sd","NEP.median","PR.mean","PR.sd","PR.median","K.mean","K.sd","K.median","theta.mean","theta.sd","theta.median","A.mean","A.sd","A.median","p.mean","p.sd","p.median","R2","PPP","rmse","rmse.relative","mrl.fraction","ER.K.cor","convergence.check","A.Rhat","K.Rhat","theta.Rhat","p.Rhat","R.Rhat","GPP.Rhat","DIC","pD","totDailyLight","aveDailyTemp","interval","smooth.DO","smooth.PAR","n.iter","n.burnin"
"1","APNERR2012dtd.csv","2012-02-23",0.224434407495431,0.0202928217295645,0.224557749003154,0.223843024969637,0.02395754457107,0.223610928720212,0.000591382525794018,0.011024655937914,0.00219185541802552,1.00551638121106,0.048831755372252,1.00941757672034,0.031578901861573,0.0309542215486674,0.0217754221383462,1.07177,0,1.07177,1.4498346737431e-05,1.31090579648349e-06,1.45063145350874e-05,1,0,1,0.632910354392533,0.500666666666667,0.035203064375949,7.21692400931148,0.291666666666667,0.275754105734983,"Fine",1.0041171628628,1.0013714622937,1,1,1.00316003615995,1.00411716286282,-356.357946672782,5.76979936627745,15480,16.6364583333333,900,0,FALSE,20000,10000
"2","APNERR2012dtd.csv","2012-02-24",0.215513649133482,0.0154548725432276,0.215492990192683,0.217337122676298,0.0193681213495821,0.217301961372489,-0.0018234735428155,0.00741033623306337,-0.00117930964195895,0.993563606372644,0.033353834661841,0.994525423390214,0.0354409389246346,0.0338922623039599,0.0255537234822445,1.07177,0,1.07177,9.41473081351975e-06,6.75147329817728e-07,9.41382832605642e-06,1,0,1,0.727132418124734,0.455666666666667,0.0250447196363223,5.94802303165409,0.25,0.369916997851954,"Fine",1.00138954614894,1.00103934270705,1,1,1.00135640741069,1.00138954614892,-420.833877820328,6.08599207122491,22891.1111111111,17.775,900,0,FALSE,20000,10000
"3","APNERR2012dtd.csv","2012-02-25",0.17179280999826,0.0129759231161063,0.171778675933782,1.23224409907038,0.168514129970207,1.21356514686,-1.06045128907212,0.167942590311033,-1.04379053053219,0.141876994597741,0.0211753607892661,0.140873670609135,1.72175000125718,0.276756223437258,1.69538157341878,1.07177,0,1.07177,7.87763370672058e-06,5.95016574420599e-07,7.87698558307242e-06,1,0,1,0.688438468396019,0.395666666666667,0.0235004792932027,5.65933658234285,0.28125,0.994893716134635,"Fine",1.00187216038231,1.01614108625661,1,1,1.01518424071394,1.00187216038231,-433.347964944984,4.7309790589322,21807.6666666667,17.0489583333333,900,0,FALSE,20000,10000
"4","APNERR2012dtd.csv","2012-02-26",0.269649657495768,0.0354119757245131,0.268467841037217,0.956036473433878,0.195988124043245,0.945242283656407,-0.68638681593811,0.165759070062589,-0.678849432293448,0.287818140147003,0.0352065593019783,0.282423160025825,0.81106332029613,0.218056402169202,0.799807789560265,1.07177,0,1.07177,3.37066753352396e-05,4.42655844554254e-06,3.35589462261275e-05,1,0,1,0.3121622511256,0.496666666666667,0.0356088662838939,8.08609112754749,0.364583333333333,0.992661994551302,"Fine",1.03831610066152,1.0638254934953,1,1,1.06285083237974,1.03831610066152,-354.246596296379,4.56516755559879,7999.88888888889,15.4447916666667,900,0,FALSE,20000,10000
"5","APNERR2012dtd.csv","2012-02-27",0.262933595673421,0.0244136333575521,0.263484389715067,0.76812703807731,0.116926984147381,0.772557214425728,-0.505193442403888,0.100129678363553,-0.509002320685297,0.347473082317547,0.0417675155325334,0.341206171600348,0.706583475846914,0.185418108040737,0.714040307662631,1.07177,0,1.07177,2.19601366109633e-05,2.03901948067418e-06,2.20061387673939e-05,1,0,1,0.487770652787734,0.507333333333333,0.0326775014621473,7.19815545944491,0.395833333333333,0.980026410112213,"Fine",1.01157892199794,1.03212636760139,1,1,1.02122463759663,1.01157892199793,-370.239274361459,5.08180837014081,11973.2222222222,15.4083333333333,900,0,FALSE,20000,10000
"6","APNERR2012dtd.csv","2012-02-28",0.19770667246437,0.0306021252413166,0.196129298735161,0.934911480655191,0.165739236679282,0.925056601641928,-0.737204808190821,0.142058848245336,-0.728567362639298,0.213536019989411,0.0234772934422363,0.211672280994744,1.15348811503574,0.26256187359188,1.13646749394197,1.07177,0,1.07177,7.16265086095165e-06,1.10867446189085e-06,7.10550470013305e-06,1,0,1,0.250720694182059,0.514666666666667,0.0395644671732906,9.17099753375638,0.34375,0.987928866556805,"Fine",1.00164708744003,1.00485847979211,1,1,1.00356606015022,1.00164708744003,-334.766312486271,4.23829662591651,27602.4444444444,16.2135416666667,900,0,FALSE,20000,10000
"7","APNERR2012dtd.csv","2012-02-29",0.272455272817984,0.0273119432228024,0.272102627154588,1.63846195818877,0.197224200348724,1.6167352307549,-1.36600668537079,0.179374016535883,-1.3454124762519,0.167317994369057,0.0149498936443327,0.166584562118091,2.46420530696946,0.359291044787166,2.42431012133872,1.07177,0,1.07177,1.52767235805538e-05,1.53139633800103e-06,1.52569505357312e-05,1,0,1,0.499825372478188,0.457666666666667,0.0320347182665054,7.40004862940348,0.322916666666667,0.989128267396879,"Fine",1.03439150616272,1.08880901326045,1,1,1.08929279112696,1.03439150616271,-374.47372839719,4.52017373314359,17834.6666666667,16.9145833333333,900,0,FALSE,20000,10000
"8","APNERR2012dtd.csv","2012-03-01",0.225419146009851,0.0270815702845366,0.225049347189072,1.80481364878016,0.252412835773789,1.79777479849973,-1.57939450277031,0.235740785557052,-1.57219765077995,0.126020453056904,0.0141799116524028,0.125198984134063,2.96207985375646,0.452745535443834,2.94676385732776,1.07177,0,1.07177,1.79734603820889e-05,2.15930873313042e-06,1.79439750230487e-05,1,0,1,0.367406500924748,0.459333333333333,0.0340935995149539,7.98337899920834,0.3125,0.992458408943446,"Fine",1.02186610451394,1.06772825165571,1,1,1.06766766339369,1.02186610451394,-363.30457467814,4.02293822884703,12541.7777777778,17.7145833333333,900,0,FALSE,20000,10000
"9","APNERR2012dtd.csv","2012-03-02",0.0486753846645089,0.0239415063833252,0.0478286528386238,0.564267017817347,0.108992988878577,0.567771727809362,-0.515591633152839,0.0916917121934991,-0.518849113513295,0.0829382927545072,0.0324646812951354,0.0851244450634515,1.15322428955969,0.1658250087409,1.15756155067791,1.07177,0,1.07177,2.03701524688844e-06,1.001927645204e-06,2.00158038281408e-06,1,0,1,0.761195102062961,0.486,0.0351406444025205,7.93159598379379,0.333333333333333,0.977980578483638,"Fine",1.01114423742585,1.00571550809034,1,1,1.00593388785775,1.01114423742585,-357.618539830227,4.20841001385856,23895.4444444444,18.628125,900,0,FALSE,20000,10000
"10","APNERR2012dtd.csv","2012-03-03",0.00499076075266565,0.00469119222382933,0.00360430287595818,0.241584062119164,0.0287968587284753,0.240874706787379,-0.236593301366498,0.0278320644152238,-0.236189809244361,0.0203268905822181,0.0182480136652863,0.015027878541656,1.43577618886104,0.0944768867866488,1.4351270885009,1.07177,0,1.07177,1.9513961705285e-07,1.83426435256471e-07,1.4092887193226e-07,1,0,1,0.859485647235345,0.433333333333333,0.0258435078729745,5.99883391702872,0.291666666666667,0.944954261088685,"Fine",1.00081408785913,1.001466540699,1,1,1.00117090045044,1.00081408785913,-415.044412043403,5.76074706827259,25575.3333333333,20.1635416666667,900,0,FALSE,20000,10000
